participant, trial, cashIn, pop, totalTokens,  pressCount, tokensGained, duration, reactionTime
1,1,0,0,9,1,9,1.4666590690000003,-1
1,1,0,0,10,2,1,0.3999741077000003,0
1,2,0,0,15,3,15,2.3793880938999976,0
1,2,0,0,25,4,10,1.5500628949000017,0
1,5,0,0,29,5,29,34.0155618191,0
1,6,0,0,21,6,21,3.1125159263999933,0
1,9,0,0,26,7,26,37.71546006199999,0
1,10,0,0,1,8,1,0.11659503000001337,0
1,10,0,0,2,9,1,0.1001071930000137,0
1,10,0,0,3,10,1,0.10000491099998499,0
1,10,0,0,4,11,1,0.09993314799999098,0
1,10,0,0,5,12,1,0.10000205000000051,0
1,10,0,0,6,13,1,0.10007500699998673,0
1,10,0,0,7,14,1,0.11662793100001068,0
1,10,0,0,8,15,1,0.09995484300000612,0
1,10,0,0,9,16,1,0.1001009939999733,0
1,10,0,0,10,17,1,0.09995794299999261,0
1,10,0,0,11,18,1,0.10006594600000085,0
1,10,0,0,12,19,1,0.13334417300001178,0
1,10,0,0,13,20,1,0.06669998199998872,0
1,10,0,0,14,21,1,0.11665892599998529,0
1,10,0,0,33,22,19,2.849784136000011,0
1,12,0,0,1,23,1,17.086670876,0
1,13,0,0,8,24,7,-177.6206469537,0
1,13,0,0,12,25,4,0.7500340938000001,0
1,14,0,0,18,26,18,2.616761922799995,0
1,15,0,0,26,27,26,3.7792389393000008,0
1,16,0,0,19,28,19,2.8333241939999994,0
1,17,0,0,32,29,32,4.433332919999998,0
1,19,0,0,12,30,12,-15.375418900999989,0
1,19,0,0,13,31,1,0.11672687499998347,0
1,19,0,0,14,32,1,0.10003995900001428,0
1,19,0,0,15,33,1,0.09987807199999565,0
1,20,0,0,13,34,13,1.949938058999976,0
1,20,0,0,18,35,5,0.949912071,0
1,20,0,0,22,36,4,0.7666099079999924,0
1,20,0,0,23,37,1,0.0666198730000076,0
1,20,0,0,24,38,1,0.08328914599999848,0
1,20,0,0,25,39,1,0.10001397100000986,0
1,21,0,0,14,40,14,2.029420853000005,0
1,21,0,0,15,41,1,0.13344192499999963,0
100,1,0,0,1,42,1,0.11657810210000008,0
100,1,0,0,2,43,1,0.05011892320000122,0
100,1,0,0,3,44,1,0.04996109010000005,0
100,2,0,0,1,45,-2,12.4497668743,0
100,2,0,0,2,46,1,0.08332586279999887,0
100,2,0,0,3,47,1,0.06667113310000161,0
100,2,0,0,4,48,1,0.10000610350000017,0
100,2,0,0,5,49,1,0.0834958553000007,0
100,2,0,0,6,50,1,0.08333611489999981,0
100,2,0,0,7,51,1,0.08339405059999905,0
100,2,0,0,8,52,1,0.0499551296000007,0
100,2,0,0,9,53,1,0.13329696659999968,0
100,2,0,0,10,54,1,0.050067901600002074,0
100,2,0,0,11,55,1,0.06670403480000076,0
100,2,0,0,12,56,1,0.06675600999999887,0
100,2,0,0,13,57,1,0.06670689579999589,0
100,2,0,0,14,58,1,0.05005502710000087,0
100,2,0,0,15,59,1,0.0666508674999946,0
100,2,0,0,16,60,1,0.13337707520000208,0
100,2,0,0,17,61,1,0.08342695229999464,0
100,2,0,0,18,62,1,0.08332705500000515,0
100,2,0,0,19,63,1,0.05013704299999944,0
100,2,0,0,20,64,1,0.04998803139999808,0
100,2,0,0,21,65,1,0.08339500429999447,0
100,2,0,0,22,66,1,0.06679987910000307,0
100,2,0,0,23,67,1,0.06662297249999938,0
100,2,0,0,24,68,1,0.05003499989999938,0
100,2,0,0,25,69,1,0.05002999309999723,0
100,3,0,0,1,70,1,0.1832590102999987,0
100,3,0,0,2,71,1,0.21663403510000023,0
100,3,0,0,3,72,1,0.18326091770000374,0
100,3,0,0,4,73,1,0.08335113520000448,0
100,3,0,0,5,74,1,0.08334016799999944,0
100,3,0,0,6,75,1,0.11664485929999557,0
100,3,0,0,7,76,1,0.15016889569999847,0
100,3,0,0,8,77,1,0.14999103550000115,0
100,3,0,0,9,78,1,0.11676502230000096,0
100,3,0,0,10,79,1,0.08337688439999624,0
100,3,0,0,11,80,1,0.1332950592999964,0
100,3,0,0,12,81,1,0.11670899389999079,0
100,3,0,0,13,82,1,0.06652212150000025,0
100,3,0,0,14,83,1,0.08331990250000842,0
100,3,0,0,15,84,1,0.08330392839999945,0
100,3,0,0,16,85,1,0.08330106740000076,0
100,3,0,0,17,86,1,0.11666297909999912,0
100,4,0,0,1,87,-16,10.866531133700008,0
100,4,0,0,2,88,1,0.11663818360000278,0
100,4,0,0,3,89,1,0.1499462128000033,0
100,4,0,0,4,90,1,0.11669802670000706,0
100,4,0,0,5,91,1,0.1333138942000005,0
